,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
153,20 Stories,Three Weeks,Thursday,3.0,-4.0,6.0,7.0,-1.75,-3.0,-0.5
1206,20 Stories,Three Weeks,Friday,0.0,0.0,-48.0,0.0,1.0,48.0,-1.0
151,20 Stories,Three Weeks,Saturday,-2.0,5.0,6.0,-7.0,-1.4,-8.0,-1.3333333333333333
152,20 Stories,Three Weeks,Sunday,0.0,2.0,5.0,-2.0,-1.0,-5.0,-1.0
25,20 Stories,Three Weeks,Full Week,16.0,28.0,-32.0,-12.0,-0.42857142857142855,48.0,-1.5
129,20 Stories,Four Weeks,Monday,2.0,8.0,0.0,-6.0,-0.75,2.0,2.0
133,20 Stories,Four Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
134,20 Stories,Four Weeks,Wednesday,0.0,6.0,2.0,-6.0,-1.0,-2.0,-1.0
132,20 Stories,Four Weeks,Thursday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
128,20 Stories,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
130,20 Stories,Four Weeks,Saturday,2.0,2.0,8.0,0.0,0.5,-6.0,-0.75
131,20 Stories,Four Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,20 Stories,Four Weeks,Full Week,4.0,18.0,10.0,-14.0,-0.7777777777777778,-6.0,-0.6
1200,20 Stories,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
127,20 Stories,Five Weeks,Tuesday,-6.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0
1202,20 Stories,Five Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
126,20 Stories,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
124,20 Stories,Five Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
125,20 Stories,Five Weeks,Saturday,6.0,8.0,0.0,-2.0,-0.25,6.0,6.0
1201,20 Stories,Five Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,20 Stories,Five Weeks,Full Week,0.0,8.0,0.0,-8.0,-1.0,0.0,1.0
145,20 Stories,Six Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1205,20 Stories,Six Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
149,20 Stories,Six Weeks,Wednesday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
148,20 Stories,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
144,20 Stories,Six Weeks,Friday,2.0,0.0,4.0,2.0,2.0,-2.0,-0.5
146,20 Stories,Six Weeks,Saturday,0.0,6.0,34.0,-6.0,-1.0,-34.0,-1.0
147,20 Stories,Six Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,20 Stories,Six Weeks,Full Week,2.0,6.0,41.0,-4.0,-0.6666666666666666,-39.0,-0.9512195121951219
141,20 Stories,Seven Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1495,20 Stories,Seven Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1204,20 Stories,Seven Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1203,20 Stories,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
140,20 Stories,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
142,20 Stories,Seven Weeks,Saturday,0.0,6.0,-50.0,-6.0,-1.0,50.0,-1.0
143,20 Stories,Seven Weeks,Sunday,0.0,-2.0,0.0,2.0,-1.0,0.0,1.0
22,20 Stories,Seven Weeks,Full Week,0.0,4.0,-50.0,-4.0,-1.0,50.0,-1.0
119,20 Stories,Eight Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
123,20 Stories,Eight Weeks,Tuesday,2.0,0.0,0.0,2.0,2.0,2.0,2.0
1492,20 Stories,Eight Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
122,20 Stories,Eight Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
118,20 Stories,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
120,20 Stories,Eight Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
121,20 Stories,Eight Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,20 Stories,Eight Weeks,Full Week,2.0,0.0,0.0,2.0,2.0,2.0,2.0
1518,Angelica,This Week,Tuesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1519,Angelica,This Week,Wednesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1517,Angelica,This Week,Thursday,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0
1514,Angelica,This Week,Friday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
1515,Angelica,This Week,Saturday,0.0,0.0,13.0,0.0,1.0,-13.0,-1.0
1516,Angelica,This Week,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
33,Angelica,This Week,Full Week,0.0,0.0,21.0,0.0,1.0,-21.0,-1.0
1509,Angelica,Next Week,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1510,Angelica,Next Week,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
176,Angelica,Next Week,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
175,Angelica,Next Week,Thursday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
172,Angelica,Next Week,Friday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
